Athlete Name,Year,Event,Score,Created At,Updated At
"Max Silva","2025-2026","Kazumi Karate Open 2025",10,"2025-11-24T15:41:44.944123+00:00","2025-11-24T15:41:44.944123+00:00"
"Mateo Jones","2025-2026","Kazumi Karate Open 2025",15,"2025-11-24T15:41:44.944123+00:00","2025-11-24T15:41:44.944123+00:00"
"Khwai Mendoza","2025-2026","Kazumi Karate Open 2025",25,"2025-11-24T15:41:44.944123+00:00","2025-11-24T15:41:44.944123+00:00"
"Khanan Burrows","2025-2026","Kazumi Karate Open 2025",15,"2025-11-24T15:41:44.944123+00:00","2025-11-24T15:41:44.944123+00:00"
"Kanae Roberts","2025-2026","Kazumi Karate Open 2025",10,"2025-11-24T15:41:44.944123+00:00","2025-11-24T15:41:44.944123+00:00"
"Jamarks White","2025-2026","Kazumi Karate Open 2025",10,"2025-11-24T15:41:44.944123+00:00","2025-11-24T15:41:44.944123+00:00"
"Jadon Spriggs","2025-2026","Kazumi Karate Open 2025",15,"2025-11-24T15:41:44.944123+00:00","2025-11-24T15:41:44.944123+00:00"
"Isabella Lindsay","2025-2026","Kazumi Karate Open 2025",15,"2025-11-24T15:41:44.944123+00:00","2025-11-24T15:41:44.944123+00:00"
"Inara Todd","2025-2026","Kazumi Karate Open 2025",15,"2025-11-24T15:41:44.944123+00:00","2025-11-24T15:41:44.944123+00:00"
"Giovanni Vianello","2025-2026","Kazumi Karate Open 2025",10,"2025-11-24T15:41:44.944123+00:00","2025-11-24T15:41:44.944123+00:00"
"Ethan White","2025-2026","Kazumi Karate Open 2025",25,"2025-11-24T15:41:44.944123+00:00","2025-11-24T15:41:44.944123+00:00"
"Khanan Burrows","2025-2026","2025 Harto Ryu Kata Classic",10,"2025-09-28T19:32:27.566709+00:00","2025-09-28T19:32:27.566709+00:00"
"Arthur White","2025-2026","2025 Harto Ryu Kata Classic",2,"2025-09-28T19:32:27.566709+00:00","2025-09-28T19:32:27.566709+00:00"
"Talaya Sousa","2025-2026","2025 Harto Ryu Kata Classic",2,"2025-09-28T19:32:27.566709+00:00","2025-09-28T19:32:27.566709+00:00"
"Mateo Jones","2025-2026","2025 Harto Ryu Kata Classic",2,"2025-09-28T19:32:27.566709+00:00","2025-09-28T19:32:27.566709+00:00"
"Mia White","2025-2026","2025 Harto Ryu Kata Classic",5,"2025-09-28T19:32:27.566709+00:00","2025-09-28T19:32:27.566709+00:00"
"Sebastian Izaguirre","2025-2026","2025 Harto Ryu Kata Classic",5,"2025-09-28T19:32:27.566709+00:00","2025-09-28T19:32:27.566709+00:00"
"Chancellor DeShield","2025-2026","2025 Harto Ryu Kata Classic",5,"2025-09-28T19:32:27.566709+00:00","2025-09-28T19:32:27.566709+00:00"
"Staciya Smith","2025-2026","2025 Harto Ryu Kata Classic",10,"2025-09-28T19:32:27.566709+00:00","2025-09-28T19:32:27.566709+00:00"
"Max Silva","2025-2026","2025 Harto Ryu Kata Classic",10,"2025-09-28T19:32:27.566709+00:00","2025-09-28T19:32:27.566709+00:00"
"Kanae Roberts","2025-2026","2025 Harto Ryu Kata Classic",10,"2025-09-28T19:32:27.566709+00:00","2025-09-28T19:32:27.566709+00:00"
"Jadon Spriggs","2025-2026","2025 Harto Ryu Kata Classic",10,"2025-09-28T19:32:27.566709+00:00","2025-09-28T19:32:27.566709+00:00"
"Giovanni Vianello","2025-2026","2025 Harto Ryu Kata Classic",10,"2025-09-28T19:32:27.566709+00:00","2025-09-28T19:32:27.566709+00:00"
"Devonte Smith Richardson","2025-2026","2025 Harto Ryu Kata Classic",10,"2025-09-28T19:32:27.566709+00:00","2025-09-28T19:32:27.566709+00:00"
"Demarkio White","2025-2026","2025 Harto Ryu Kata Classic",10,"2025-09-28T19:32:27.566709+00:00","2025-09-28T19:32:27.566709+00:00"
"Alessia Vianello","2025-2026","2025 Harto Ryu Kata Classic",10,"2025-09-28T19:32:27.566709+00:00","2025-09-28T19:32:27.566709+00:00"
