Athlete Name,Year,Event,Score,Created At,Updated At
"Avalon Hollis","2023-2024","2024 Shiai",5,"2025-08-31T02:32:49.152783+00:00","2025-08-31T02:32:49.152783+00:00"
"Ja'Quito Young","2023-2024","2024 Shiai",15,"2025-08-31T02:32:48.951504+00:00","2025-08-31T02:32:48.951504+00:00"
"Blake Farrington","2023-2024","2024 Lepercq Memorial",10,"2025-08-31T02:32:48.738462+00:00","2025-08-31T02:32:48.738462+00:00"
"Blake Farrington","2023-2024","2024 Shiai",10,"2025-08-31T02:32:48.647671+00:00","2025-08-31T02:32:48.647671+00:00"
"TaylorMing","2023-2024","2024 Lepercq Memorial",15,"2025-08-31T02:32:48.464596+00:00","2025-08-31T02:32:48.464596+00:00"
"TaylorMing","2023-2024","2024 Shiai",15,"2025-08-31T02:32:48.374317+00:00","2025-08-31T02:32:48.374317+00:00"
"Khanan Burrows","2023-2024","2024 Shiai",15,"2025-08-31T02:32:48.163792+00:00","2025-08-31T02:32:48.163792+00:00"
"Jadon Spriggs","2023-2024","2024 Shiai",15,"2025-08-31T02:32:47.965017+00:00","2025-08-31T02:32:47.965017+00:00"
"Jayden Lambert","2023-2024","2024 Shiai",25,"2025-08-31T02:32:47.764227+00:00","2025-08-31T02:32:47.764227+00:00"
"Tre Simmons","2023-2024","2024 Shiai",25,"2025-08-31T02:32:47.569608+00:00","2025-08-31T02:32:47.569608+00:00"
"Jaishun Jones","2023-2024","2024 Shiai",15,"2025-08-31T02:32:47.36453+00:00","2025-08-31T02:32:47.36453+00:00"
"Odin Flanagan","2023-2024","2023 Kazumi open",5,"2025-08-31T02:32:47.16262+00:00","2025-08-31T02:32:47.16262+00:00"
"Zion Lowe","2023-2024","2024 Lepercq Memorial",15,"2025-08-31T02:32:46.890161+00:00","2025-08-31T02:32:46.890161+00:00"
"Zion Lowe","2023-2024","2023 Kazumi open",2,"2025-08-31T02:32:46.804578+00:00","2025-08-31T02:32:46.804578+00:00"
"Zhara  Trott","2023-2024","2023 Kazumi open",15,"2025-08-31T02:32:46.602784+00:00","2025-08-31T02:32:46.602784+00:00"
"Y'Ves  Tucker","2023-2024","2023 Kazumi open",5,"2025-08-31T02:32:46.40314+00:00","2025-08-31T02:32:46.40314+00:00"
"Xyaiden  Burrows","2023-2024","2024 Shiai",2,"2025-08-31T02:32:46.201698+00:00","2025-08-31T02:32:46.201698+00:00"
"Xyaiden  Burrows","2023-2024","2023 Kazumi open",5,"2025-08-31T02:32:46.10938+00:00","2025-08-31T02:32:46.10938+00:00"
"Xela Hall","2023-2024","2023 Kazumi open",10,"2025-08-31T02:32:45.889108+00:00","2025-08-31T02:32:45.889108+00:00"
"Will Spriggs","2023-2024","2023 Kazumi open",15,"2025-08-31T02:32:45.693783+00:00","2025-08-31T02:32:45.693783+00:00"
"Michael Mohipp","2023-2024","2023 Kazumi open",10,"2025-08-31T02:32:45.49367+00:00","2025-08-31T02:32:45.49367+00:00"
"Khwai Mendoza","2023-2024","2024 Lepercq Memorial",10,"2025-08-31T02:32:45.298027+00:00","2025-08-31T02:32:45.298027+00:00"
"Khwai Mendoza","2023-2024","2024 Shiai",25,"2025-08-31T02:32:45.189511+00:00","2025-08-31T02:32:45.189511+00:00"
"Khwai Mendoza","2023-2024","2023 Kazumi open",22,"2025-08-31T02:32:45.094522+00:00","2025-08-31T02:32:45.094522+00:00"
"Kamila Simons","2023-2024","2023 Kazumi open",10,"2025-08-31T02:32:44.875634+00:00","2025-08-31T02:32:44.875634+00:00"
"Isla Hall","2023-2024","2023 Kazumi open",15,"2025-08-31T02:32:44.662485+00:00","2025-08-31T02:32:44.662485+00:00"
"Dash Bailey","2023-2024","2023 Kazumi open",15,"2025-08-31T02:32:44.465738+00:00","2025-08-31T02:32:44.465738+00:00"
"Charle Ndiaye","2023-2024","2023 Kazumi open",10,"2025-08-31T02:32:44.148239+00:00","2025-08-31T02:32:44.148239+00:00"
"Bergen Branden","2023-2024","2023 Kazumi open",5,"2025-08-31T02:32:43.94166+00:00","2025-08-31T02:32:43.94166+00:00"
"Taylor Ming","2023-2024","2023 Kata Classic",15,"2025-08-31T02:32:43.728766+00:00","2025-08-31T02:32:43.728766+00:00"
"Tony Cabral","2023-2024","2024 Lepercq Memorial",75,"2025-08-31T02:32:43.4203+00:00","2025-11-20T20:52:29.88835+00:00"
"Tony Cabral","2023-2024","2024 Shiai",70,"2025-08-31T02:32:43.326627+00:00","2025-11-20T20:52:29.88835+00:00"
"Tony Cabral","2023-2024","2023 Kazumi open",90,"2025-08-31T02:32:43.22232+00:00","2025-11-20T20:52:29.88835+00:00"
"Tony Cabral","2023-2024","2023 Kata Classic",50,"2025-08-31T02:32:43.110545+00:00","2025-11-20T20:52:29.88835+00:00"
"Zoe Talbot","2023-2024","2024 Lepercq Memorial",10,"2025-08-31T02:32:42.910145+00:00","2025-08-31T02:32:42.910145+00:00"
"Zoe Talbot","2023-2024","2024 Shiai",15,"2025-08-31T02:32:42.812593+00:00","2025-08-31T02:32:42.812593+00:00"
"Zoe Talbot","2023-2024","2023 Kata Classic",5,"2025-08-31T02:32:42.71471+00:00","2025-08-31T02:32:42.71471+00:00"
"Zoe Phillips","2023-2024","2024 Lepercq Memorial",15,"2025-08-31T02:32:42.403256+00:00","2025-08-31T02:32:42.403256+00:00"
"Zoe Phillips","2023-2024","2024 Shiai",10,"2025-08-31T02:32:42.31258+00:00","2025-08-31T02:32:42.31258+00:00"
"Zoe Phillips","2023-2024","2023 Kazumi open",15,"2025-08-31T02:32:42.213485+00:00","2025-08-31T02:32:42.213485+00:00"
"Zoe Phillips","2023-2024","2023 Kata Classic",15,"2025-08-31T02:32:42.121176+00:00","2025-08-31T02:32:42.121176+00:00"
"Zecori Talbot","2023-2024","2024 Lepercq Memorial",15,"2025-08-31T02:32:41.768447+00:00","2025-08-31T02:32:41.768447+00:00"
"Zecori Talbot","2023-2024","2024 Shiai",10,"2025-08-31T02:32:41.600383+00:00","2025-08-31T02:32:41.600383+00:00"
"Zecori Talbot","2023-2024","2023 Kata Classic",15,"2025-08-31T02:32:41.419475+00:00","2025-08-31T02:32:41.419475+00:00"
"Vincent Lightbourne","2023-2024","2024 Shiai",5,"2025-08-31T02:32:41.065393+00:00","2025-08-31T02:32:41.065393+00:00"
"Vincent Lightbourne","2023-2024","2023 Kazumi open",15,"2025-08-31T02:32:40.892466+00:00","2025-08-31T02:32:40.892466+00:00"
"Vincent Lightbourne","2023-2024","2023 Kata Classic",15,"2025-08-31T02:32:40.711899+00:00","2025-08-31T02:32:40.711899+00:00"
"Tanaka Kunze","2023-2024","2023 Kazumi open",15,"2025-08-31T02:32:40.361385+00:00","2025-08-31T02:32:40.361385+00:00"
"Tanaka Kunze","2023-2024","2023 Kata Classic",5,"2025-08-31T02:32:40.187305+00:00","2025-08-31T02:32:40.187305+00:00"
"Talaya Sousa","2023-2024","2024 Lepercq Memorial",15,"2025-08-31T02:32:39.841591+00:00","2025-08-31T02:32:39.841591+00:00"
"Talaya Sousa","2023-2024","2023 Kata Classic",2,"2025-08-31T02:32:39.650466+00:00","2025-08-31T02:32:39.650466+00:00"
"Talano Brown","2023-2024","2023 Kata Classic",10,"2025-08-31T02:32:38.993333+00:00","2025-08-31T02:32:38.993333+00:00"
"Talia Fox","2023-2024","2024 Lepercq Memorial",35,"2025-08-31T02:32:38.786316+00:00","2025-11-20T20:45:18.348757+00:00"
"Talia Fox","2023-2024","2024 Shiai",70,"2025-08-31T02:32:38.679619+00:00","2025-11-20T20:45:18.348757+00:00"
"Talia Fox","2023-2024","2023 Kazumi open",50,"2025-08-31T02:32:38.580457+00:00","2025-11-20T20:45:18.348757+00:00"
"Talia Fox","2023-2024","2023 Kata Classic",90,"2025-08-31T02:32:38.493017+00:00","2025-11-20T20:45:18.348757+00:00"
"Rochuno Richards","2023-2024","2024 Lepercq Memorial",15,"2025-08-31T02:32:38.181108+00:00","2025-08-31T02:32:38.181108+00:00"
"Rochuno Richards","2023-2024","2024 Shiai",2,"2025-08-31T02:32:38.086971+00:00","2025-08-31T02:32:38.086971+00:00"
"Rochuno Richards","2023-2024","2023 Kazumi open",5,"2025-08-31T02:32:37.988157+00:00","2025-08-31T02:32:37.988157+00:00"
"Rochuno Richards","2023-2024","2023 Kata Classic",10,"2025-08-31T02:32:37.870803+00:00","2025-08-31T02:32:37.870803+00:00"
"Rhiann Brown","2023-2024","2023 Kata Classic",2,"2025-08-31T02:32:37.668453+00:00","2025-08-31T02:32:37.668453+00:00"
"Noah Lowe","2023-2024","2024 Lepercq Memorial",20,"2025-08-31T02:32:37.473354+00:00","2025-08-31T02:32:37.473354+00:00"
"Noah Lowe","2023-2024","2024 Shiai",25,"2025-08-31T02:32:37.368423+00:00","2025-08-31T02:32:37.368423+00:00"
"Noah Lowe","2023-2024","2023 Kazumi open",15,"2025-08-31T02:32:37.260819+00:00","2025-08-31T02:32:37.260819+00:00"
"Noah Lowe","2023-2024","2023 Kata Classic",15,"2025-08-31T02:32:37.159545+00:00","2025-08-31T02:32:37.159545+00:00"
"Miguel Bolarinho","2023-2024","2024 Shiai",2,"2025-08-31T02:32:36.818605+00:00","2025-08-31T02:32:36.818605+00:00"
"Miguel Bolarinho","2023-2024","2023 Kata Classic",10,"2025-08-31T02:32:36.724155+00:00","2025-08-31T02:32:36.724155+00:00"
"Michael Burgess","2023-2024","2024 Lepercq Memorial",45,"2025-08-31T02:32:36.545282+00:00","2025-08-31T02:32:36.545282+00:00"
"Michael Burgess","2023-2024","2024 Shiai",45,"2025-08-31T02:32:36.441034+00:00","2025-08-31T02:32:36.441034+00:00"
"Michael Burgess","2023-2024","2023 Kazumi open",45,"2025-08-31T02:32:36.337449+00:00","2025-08-31T02:32:36.337449+00:00"
"Michael Burgess","2023-2024","2023 Kata Classic",30,"2025-08-31T02:32:36.239913+00:00","2025-08-31T02:32:36.239913+00:00"
"Mia White","2023-2024","2024 Lepercq Memorial",5,"2025-08-31T02:32:35.959731+00:00","2025-08-31T02:32:35.959731+00:00"
"Mia White","2023-2024","2024 Shiai",15,"2025-08-31T02:32:35.861751+00:00","2025-08-31T02:32:35.861751+00:00"
"Mia White","2023-2024","2023 Kata Classic",15,"2025-08-31T02:32:35.767419+00:00","2025-08-31T02:32:35.767419+00:00"
"Marlieh Williams","2023-2024","2023 Kata Classic",30,"2025-08-31T02:32:35.418109+00:00","2025-08-31T02:32:35.418109+00:00"
"Maiya Caisey","2023-2024","2024 Lepercq Memorial",5,"2025-08-31T02:32:35.058766+00:00","2025-08-31T02:32:35.058766+00:00"
"Maiya Caisey","2023-2024","2023 Kata Classic",5,"2025-08-31T02:32:34.89229+00:00","2025-08-31T02:32:34.89229+00:00"
"Kairos Francis","2023-2024","2023 Kata Classic",5,"2025-08-31T02:32:34.376667+00:00","2025-08-31T02:32:34.376667+00:00"
"Inara Todd","2023-2024","2023 Kata Classic",10,"2025-08-31T02:32:34.011774+00:00","2025-08-31T02:32:34.011774+00:00"
"Giovanni Vianello","2023-2024","2024 Lepercq Memorial",5,"2025-08-31T02:32:33.670164+00:00","2025-08-31T02:32:33.670164+00:00"
"Giovanni Vianello","2023-2024","2024 Shiai",10,"2025-08-31T02:32:33.492821+00:00","2025-08-31T02:32:33.492821+00:00"
"Giovanni Vianello","2023-2024","2023 Kazumi open",10,"2025-08-31T02:32:33.301951+00:00","2025-08-31T02:32:33.301951+00:00"
"Giovanni Vianello","2023-2024","2023 Kata Classic",15,"2025-08-31T02:32:33.099673+00:00","2025-08-31T02:32:33.099673+00:00"
"Ethan White","2023-2024","2024 Lepercq Memorial",15,"2025-08-31T02:32:32.592683+00:00","2025-08-31T02:32:32.592683+00:00"
"Ethan White","2023-2024","2024 Shiai",5,"2025-08-31T02:32:32.484324+00:00","2025-08-31T02:32:32.484324+00:00"
"Ethan White","2023-2024","2023 Kata Classic",5,"2025-08-31T02:32:32.383962+00:00","2025-08-31T02:32:32.383962+00:00"
"Dominique Brown","2023-2024","2024 Shiai",25,"2025-08-31T02:32:32.194888+00:00","2025-08-31T02:32:32.194888+00:00"
"Dominique Brown","2023-2024","2023 Kata Classic",35,"2025-08-31T02:32:32.111404+00:00","2025-08-31T02:32:32.111404+00:00"
"Chan Simons","2023-2024","2024 Lepercq Memorial",17,"2025-08-31T02:32:31.832615+00:00","2025-08-31T02:32:31.832615+00:00"
"Chan Simons","2023-2024","2024 Shiai",25,"2025-08-31T02:32:31.737394+00:00","2025-08-31T02:32:31.737394+00:00"
"Chan Simons","2023-2024","2023 Kata Classic",10,"2025-08-31T02:32:31.647689+00:00","2025-08-31T02:32:31.647689+00:00"
"Beth Hollis","2023-2024","2023 Kata Classic",15,"2025-08-31T02:32:31.342429+00:00","2025-08-31T02:32:31.342429+00:00"
"Arlo Hollis","2023-2024","2024 Lepercq Memorial",25,"2025-08-31T02:32:31.156008+00:00","2025-08-31T02:32:31.156008+00:00"
"Arlo Hollis","2023-2024","2024 Shiai",5,"2025-08-31T02:32:30.984602+00:00","2025-08-31T02:32:30.984602+00:00"
"Arlo Hollis","2023-2024","2023 Kazumi open",15,"2025-08-31T02:32:30.886493+00:00","2025-08-31T02:32:30.886493+00:00"
"Arlo Hollis","2023-2024","2023 Kata Classic",15,"2025-08-31T02:32:30.780613+00:00","2025-08-31T02:32:30.780613+00:00"
"Amarriah Vaughans","2023-2024","2024 Lepercq Memorial",25,"2025-08-31T02:32:30.580204+00:00","2025-08-31T02:32:30.580204+00:00"
"Amarriah Vaughans","2023-2024","2024 Shiai",30,"2025-08-31T02:32:30.480176+00:00","2025-08-31T02:32:30.480176+00:00"
"Amarriah Vaughans","2023-2024","2023 Kazumi open",15,"2025-08-31T02:32:30.376518+00:00","2025-08-31T02:32:30.376518+00:00"
"Amarriah Vaughans","2023-2024","2023 Kata Classic",20,"2025-08-31T02:32:30.273778+00:00","2025-08-31T02:32:30.273778+00:00"
"AlessiaVianello","2023-2024","2024 Shiai",10,"2025-08-31T02:32:29.89078+00:00","2025-08-31T02:32:29.89078+00:00"
"AlessiaVianello","2023-2024","2023 Kazumi open",10,"2025-08-31T02:32:29.739064+00:00","2025-08-31T02:32:29.739064+00:00"
"AlessiaVianello","2023-2024","2023 Kata Classic",15,"2025-08-31T02:32:29.62817+00:00","2025-08-31T02:32:29.62817+00:00"
"Zoe Talbot","2021-2022","2022 Lepercq Memorial",10,"2025-08-31T02:32:28.912376+00:00","2025-08-31T02:32:28.912376+00:00"
"Zacori Talbot","2021-2022","2022 Lepercq Memorial",15,"2025-08-31T02:32:28.677454+00:00","2025-08-31T02:32:28.677454+00:00"
"Torrie Russell","2021-2022","2022 Lepercq Memorial",15,"2025-08-31T02:32:28.473886+00:00","2025-08-31T02:32:28.473886+00:00"
"Torrie Russell","2021-2022","2022 Shiai",5,"2025-08-31T02:32:28.375595+00:00","2025-08-31T02:32:28.375595+00:00"
"Taylor Ming","2021-2022","2022 Lepercq Memorial",15,"2025-08-31T02:32:28.174888+00:00","2025-08-31T02:32:28.174888+00:00"
"Talano Brown Brown","2021-2022","2022 Lepercq Memorial",5,"2025-08-31T02:32:27.943786+00:00","2025-08-31T02:32:27.943786+00:00"
"Staciya Smith","2021-2022","2022 Lepercq Memorial",5,"2025-08-31T02:32:27.725145+00:00","2025-08-31T02:32:27.725145+00:00"
"Rocco Adderley","2021-2022","2021 BudoCup",5,"2025-08-31T02:32:27.498206+00:00","2025-08-31T02:32:27.498206+00:00"
"Rianna Pitcher","2021-2022","2022 Shiai",15,"2025-08-31T02:32:27.250837+00:00","2025-08-31T02:32:27.250837+00:00"
"Noah Lowe","2021-2022","2022 Lepercq Memorial",10,"2025-08-31T02:32:27.04255+00:00","2025-08-31T02:32:27.04255+00:00"
"Marli Robinson","2021-2022","2022 Lepercq Memorial",10,"2025-08-31T02:32:26.843994+00:00","2025-08-31T02:32:26.843994+00:00"
"Marleigh Williams","2021-2022","2022 Lepercq Memorial",12,"2025-08-31T02:32:26.632923+00:00","2025-08-31T02:32:26.632923+00:00"
"Marleigh Williams","2021-2022","2022 Shiai",10,"2025-08-31T02:32:26.528276+00:00","2025-08-31T02:32:26.528276+00:00"
"Maceo  Davis","2021-2022","2022 Lepercq Memorial",10,"2025-08-31T02:32:26.320123+00:00","2025-08-31T02:32:26.320123+00:00"
"Kosey Simmons","2021-2022","2022 Lepercq Memorial",15,"2025-08-31T02:32:26.106044+00:00","2025-08-31T02:32:26.106044+00:00"
"Kosey Simmons","2021-2022","2022 Shiai",5,"2025-08-31T02:32:26.008589+00:00","2025-08-31T02:32:26.008589+00:00"
"Khwai Mendoza","2021-2022","2022 Lepercq Memorial",15,"2025-08-31T02:32:25.805281+00:00","2026-03-15T23:55:22.562917+00:00"
"Katar  Simons","2021-2022","2022 Shiai",15,"2025-08-31T02:32:25.602865+00:00","2025-08-31T02:32:25.602865+00:00"
"Jonathan Trott","2021-2022","2022 Shiai",10,"2025-08-31T02:32:25.397874+00:00","2025-08-31T02:32:25.397874+00:00"
"Joah Simons","2021-2022","2022 Lepercq Memorial",2,"2025-08-31T02:32:25.171613+00:00","2025-08-31T02:32:25.171613+00:00"
"Giovonni Vianello","2021-2022","2022 Lepercq Memorial",5,"2025-08-31T02:32:24.934511+00:00","2025-08-31T02:32:24.934511+00:00"
"Giovonni Vianello","2021-2022","2022 Shiai",10,"2025-08-31T02:32:24.804119+00:00","2025-08-31T02:32:24.804119+00:00"
"Geraldine Sidders","2021-2022","2022 Lepercq Memorial",20,"2025-08-31T02:32:24.605224+00:00","2025-08-31T02:32:24.605224+00:00"
"Geraldine Sidders","2021-2022","2022 Shiai",25,"2025-08-31T02:32:24.500001+00:00","2025-08-31T02:32:24.500001+00:00"
"Enzi  Johnston","2021-2022","2022 Shiai",10,"2025-08-31T02:32:24.285829+00:00","2025-08-31T02:32:24.285829+00:00"
"DuVal Robinson","2021-2022","2022 Lepercq Memorial",15,"2025-08-31T02:32:24.072098+00:00","2025-08-31T02:32:24.072098+00:00"
"Davonte  Richadson","2021-2022","2022 Lepercq Memorial",5,"2025-08-31T02:32:23.870938+00:00","2025-08-31T02:32:23.870938+00:00"
"Davonte  Richadson","2021-2022","2022 Shiai",5,"2025-08-31T02:32:23.763056+00:00","2025-08-31T02:32:23.763056+00:00"
"David Sainsbury","2021-2022","2022 Lepercq Memorial",15,"2025-08-31T02:32:23.534776+00:00","2025-08-31T02:32:23.534776+00:00"
"David Sainsbury","2021-2022","2021 BudoCup",10,"2025-08-31T02:32:23.429527+00:00","2025-08-31T02:32:23.429527+00:00"
"Craig Ferguson","2021-2022","2022 Lepercq Memorial",15,"2025-08-31T02:32:23.203798+00:00","2025-08-31T02:32:23.203798+00:00"
"Craig Ferguson","2021-2022","2022 Shiai",15,"2025-08-31T02:32:23.075785+00:00","2025-08-31T02:32:23.075785+00:00"
"Christian Phillips","2021-2022","2022 Shiai",5,"2025-08-31T02:32:22.813012+00:00","2025-08-31T02:32:22.813012+00:00"
"Charles Ndiaye","2021-2022","2021 BudoCup",15,"2025-08-31T02:32:22.601126+00:00","2025-08-31T02:32:22.601126+00:00"
"Ayden Tucker","2021-2022","2021 BudoCup",5,"2025-08-31T02:32:22.400355+00:00","2025-08-31T02:32:22.400355+00:00"
"Aaron  Lugo","2021-2022","2022 Shiai",15,"2025-08-31T02:32:22.163574+00:00","2025-08-31T02:32:22.163574+00:00"
"Zenji Ingham","2021-2022","2021 Kata Classic",45,"2025-08-31T02:32:21.893597+00:00","2025-08-31T02:32:21.893597+00:00"
"Dominique Brown","2021-2022","2022 Lepercq Memorial",50,"2025-08-31T02:32:21.684176+00:00","2025-08-31T02:32:21.684176+00:00"
"Dominique Brown","2021-2022","2022 Shiai",62,"2025-08-31T02:32:21.580937+00:00","2025-08-31T02:32:21.580937+00:00"
"Dominique Brown","2021-2022","2021 BudoCup",70,"2025-08-31T02:32:21.479729+00:00","2025-08-31T02:32:21.479729+00:00"
"Dominique Brown","2021-2022","2021 Kata Classic",40,"2025-08-31T02:32:21.374199+00:00","2025-08-31T02:32:21.374199+00:00"
"Talia Fox","2021-2022","2022 Lepercq Memorial",55,"2025-08-31T02:32:21.172443+00:00","2025-11-20T20:45:18.348757+00:00"
"Talia Fox","2021-2022","2022 Shiai",70,"2025-08-31T02:32:21.05878+00:00","2025-11-20T20:45:18.348757+00:00"
"Talia Fox","2021-2022","2021 BudoCup",50,"2025-08-31T02:32:20.950555+00:00","2025-11-20T20:45:18.348757+00:00"
"Talia Fox","2021-2022","2021 Kata Classic",30,"2025-08-31T02:32:20.852801+00:00","2025-11-20T20:45:18.348757+00:00"
"Tony Cabral","2021-2022","2022 Lepercq Memorial",20,"2025-08-31T02:32:20.636475+00:00","2025-08-31T02:32:20.636475+00:00"
"Tony Cabral","2021-2022","2022 Shiai",5,"2025-08-31T02:32:20.538524+00:00","2025-08-31T02:32:20.538524+00:00"
"Tony Cabral","2021-2022","2021 BudoCup",10,"2025-08-31T02:32:20.43933+00:00","2025-08-31T02:32:20.43933+00:00"
"Tony Cabral","2021-2022","2021 Kata Classic",25,"2025-08-31T02:32:20.335087+00:00","2025-08-31T02:32:20.335087+00:00"
"Reuben Bean","2021-2022","2022 Lepercq Memorial",55,"2025-08-31T02:32:20.126555+00:00","2025-08-31T02:32:20.126555+00:00"
"Reuben Bean","2021-2022","2022 Shiai",40,"2025-08-31T02:32:20.025645+00:00","2025-08-31T02:32:20.025645+00:00"
"Reuben Bean","2021-2022","2021 BudoCup",90,"2025-08-31T02:32:19.925366+00:00","2025-08-31T02:32:19.925366+00:00"
"Reuben Bean","2021-2022","2021 Kata Classic",25,"2025-08-31T02:32:19.814212+00:00","2025-08-31T02:32:19.814212+00:00"
"Dash Bailey","2021-2022","2022 Lepercq Memorial",45,"2025-08-31T02:32:19.597088+00:00","2025-08-31T02:32:19.597088+00:00"
"Dash Bailey","2021-2022","2022 Shiai",40,"2025-08-31T02:32:19.49422+00:00","2025-08-31T02:32:19.49422+00:00"
"Dash Bailey","2021-2022","2021 BudoCup",10,"2025-08-31T02:32:19.391734+00:00","2025-08-31T02:32:19.391734+00:00"
"Dash Bailey","2021-2022","2021 Kata Classic",25,"2025-08-31T02:32:19.279879+00:00","2025-08-31T02:32:19.279879+00:00"
"Massanda Vaughans","2021-2022","2022 Lepercq Memorial",12,"2025-08-31T02:32:19.046813+00:00","2025-08-31T02:32:19.046813+00:00"
"Massanda Vaughans","2021-2022","2022 Shiai",15,"2025-08-31T02:32:18.932497+00:00","2025-08-31T02:32:18.932497+00:00"
"Massanda Vaughans","2021-2022","2021 BudoCup",30,"2025-08-31T02:32:18.827685+00:00","2025-08-31T02:32:18.827685+00:00"
"Massanda Vaughans","2021-2022","2021 Kata Classic",20,"2025-08-31T02:32:18.727628+00:00","2025-08-31T02:32:18.727628+00:00"
"Seri Fisher","2021-2022","2021 Kata Classic",15,"2025-08-31T02:32:18.513548+00:00","2025-08-31T02:32:18.513548+00:00"
"SEIJI WALLINGTON-INGHAM","2021-2022","2022 Lepercq Memorial",10,"2025-08-31T02:32:18.238792+00:00","2025-08-31T02:32:18.238792+00:00"
"SEIJI WALLINGTON-INGHAM","2021-2022","2022 Shiai",20,"2025-08-31T02:32:18.108599+00:00","2025-08-31T02:32:18.108599+00:00"
"SEIJI WALLINGTON-INGHAM","2021-2022","2021 Kata Classic",15,"2025-08-31T02:32:17.988012+00:00","2025-08-31T02:32:17.988012+00:00"
"Sage DeSousa","2021-2022","2022 Lepercq Memorial",40,"2025-08-31T02:32:17.763513+00:00","2025-08-31T02:32:17.763513+00:00"
"Sage DeSousa","2021-2022","2022 Shiai",25,"2025-08-31T02:32:17.645751+00:00","2025-08-31T02:32:17.645751+00:00"
"Sage DeSousa","2021-2022","2021 BudoCup",25,"2025-08-31T02:32:17.53631+00:00","2025-08-31T02:32:17.53631+00:00"
"Sage DeSousa","2021-2022","2021 Kata Classic",15,"2025-08-31T02:32:17.417723+00:00","2025-08-31T02:32:17.417723+00:00"
"Odin Flanagan","2021-2022","2022 Lepercq Memorial",15,"2025-08-31T02:32:17.197467+00:00","2025-08-31T02:32:17.197467+00:00"
"Odin Flanagan","2021-2022","2021 Kata Classic",15,"2025-08-31T02:32:17.075658+00:00","2025-08-31T02:32:17.075658+00:00"
"Marseille Williams","2021-2022","2022 Lepercq Memorial",20,"2025-08-31T02:32:16.859268+00:00","2025-08-31T02:32:16.859268+00:00"
"Marseille Williams","2021-2022","2022 Shiai",20,"2025-08-31T02:32:16.755795+00:00","2025-08-31T02:32:16.755795+00:00"
"Marseille Williams","2021-2022","2021 BudoCup",30,"2025-08-31T02:32:16.640442+00:00","2025-08-31T02:32:16.640442+00:00"
"Marseille Williams","2021-2022","2021 Kata Classic",15,"2025-08-31T02:32:16.541244+00:00","2025-08-31T02:32:16.541244+00:00"
"Maiya Caisey","2021-2022","2022 Lepercq Memorial",5,"2025-08-31T02:32:16.311193+00:00","2025-08-31T02:32:16.311193+00:00"
"Maiya Caisey","2021-2022","2021 Kata Classic",15,"2025-08-31T02:32:16.215043+00:00","2025-08-31T02:32:16.215043+00:00"
"Kiyan Phillips","2021-2022","2022 Shiai",10,"2025-08-31T02:32:15.979761+00:00","2025-08-31T02:32:15.979761+00:00"
"Kiyan Phillips","2021-2022","2021 Kata Classic",15,"2025-08-31T02:32:15.871362+00:00","2025-08-31T02:32:15.871362+00:00"
"Ian Lim","2021-2022","2022 Shiai",15,"2025-08-31T02:32:15.635797+00:00","2025-08-31T02:32:15.635797+00:00"
"Ian Lim","2021-2022","2021 Kata Classic",15,"2025-08-31T02:32:15.542573+00:00","2025-08-31T02:32:15.542573+00:00"
"D'Ani Pitcher","2021-2022","2022 Shiai",5,"2025-08-31T02:32:15.323815+00:00","2025-08-31T02:32:15.323815+00:00"
"D'Ani Pitcher","2021-2022","2021 Kata Classic",15,"2025-08-31T02:32:15.224264+00:00","2025-08-31T02:32:15.224264+00:00"
"Michael Burgess","2021-2022","2022 Lepercq Memorial",32,"2025-08-31T02:32:15.000264+00:00","2025-08-31T02:32:15.000264+00:00"
"Michael Burgess","2021-2022","2022 Shiai",30,"2025-08-31T02:32:14.880799+00:00","2025-08-31T02:32:14.880799+00:00"
"Michael Burgess","2021-2022","2021 BudoCup",25,"2025-08-31T02:32:14.77196+00:00","2025-08-31T02:32:14.77196+00:00"
"Michael Burgess","2021-2022","2021 Kata Classic",10,"2025-08-31T02:32:14.662059+00:00","2025-08-31T02:32:14.662059+00:00"
"Lucas Frias","2021-2022","2022 Lepercq Memorial",10,"2025-08-31T02:32:14.425261+00:00","2025-08-31T02:32:14.425261+00:00"
"Lucas Frias","2021-2022","2022 Shiai",10,"2025-08-31T02:32:14.287881+00:00","2025-08-31T02:32:14.287881+00:00"
"Lucas Frias","2021-2022","2021 BudoCup",35,"2025-08-31T02:32:14.186954+00:00","2025-08-31T02:32:14.186954+00:00"
"Lucas Frias","2021-2022","2021 Kata Classic",10,"2025-08-31T02:32:14.070239+00:00","2025-08-31T02:32:14.070239+00:00"
"Dylan Flanagan","2021-2022","2022 Lepercq Memorial",10,"2025-08-31T02:32:13.851555+00:00","2025-08-31T02:32:13.851555+00:00"
"Dylan Flanagan","2021-2022","2021 Kata Classic",10,"2025-08-31T02:32:13.716858+00:00","2025-08-31T02:32:13.716858+00:00"
"Darin Woolridge","2021-2022","2022 Shiai",20,"2025-08-31T02:32:13.497318+00:00","2025-08-31T02:32:13.497318+00:00"
"Darin Woolridge","2021-2022","2021 BudoCup",15,"2025-08-31T02:32:13.381095+00:00","2025-08-31T02:32:13.381095+00:00"
"Darin Woolridge","2021-2022","2021 Kata Classic",10,"2025-08-31T02:32:13.273704+00:00","2025-08-31T02:32:13.273704+00:00"
